id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
eca_084_shuf,self,,2,500,375,125,235,0,neither,23.65,500.00,0.0473,593.945,DB_EXT(INC(R0))
eca_088_shuf,self,,2,500,375,125,375,124,compressed_only,13.53,500.00,0.0271,12.659,DARY d=2 INC(R1) init=0
eca_107_shuf,self,,2,500,375,125,16,0,neither,55.41,500.00,0.1108,592.664,FUNC_L d=5
eca_109_shuf,self,,2,500,375,125,22,0,neither,106.40,500.00,0.2128,592.768,NESTED_LOOP L=5
eca_111_shuf,self,,2,500,375,125,18,0,neither,77.06,500.00,0.1541,600.062,WIDE_BIT nr=3 bit=255
eca_114_shuf,self,,2,500,375,125,22,0,neither,66.94,500.00,0.1339,600.050,WIDE_BIT nr=3 bit=187
eca_120_shuf,self,,2,500,375,125,80,0,neither,44.87,500.00,0.0897,593.772,P2H_FUNC d=4 R1
eca_134_shuf,self,,2,500,375,125,207,0,neither,23.65,500.00,0.0473,595.466,DB_EXT(INC(R0))
eca_145_shuf,self,,2,500,375,125,22,0,neither,65.32,500.00,0.1306,592.097,NESTED_LOOP L=3
eca_174_shuf,self,,2,500,375,125,95,0,neither,59.47,500.00,0.1189,593.534,FUNC_L d=4
eca_200_shuf,self,,2,500,375,125,121,0,neither,22.90,500.00,0.0458,593.632,FUNC d=2
eca_241_shuf,self,,2,500,375,125,267,0,neither,72.30,500.00,0.1446,600.014,WIDE_BIT nr=3 bit=255
eca_250_shuf,self,,2,500,375,125,17,0,neither,50.12,500.00,0.1002,593.113,P2H_ITER d=4 r0=2
A000002_a3_shuf,self,,3,108,81,27,14,0,neither,56.69,171.18,0.3312,590.576,STEP off=77 halt=1
A000120_a7_shuf,self,,7,105,79,26,7,0,neither,72.42,294.77,0.2457,591.441,P2H_FUNC d=8 R0
A000203_a5_shuf,self,,5,70,50,20,7,0,neither,62.40,162.53,0.3839,590.599,P2H_FUNC d=7 R0
A000217_a5_shuf,self,,5,54,34,20,10,0,neither,55.41,125.38,0.4419,589.592,FUNC_L d=5
A000290_a5_shuf,self,,5,51,31,20,12,0,neither,72.42,118.42,0.6116,589.974,P2H_FUNC d=8 R0
A000326_a7_shuf,self,,7,47,27,20,6,0,neither,55.09,131.95,0.4175,590.067,STEP off=22 halt=2
A000796_a3_shuf,self,,3,105,79,26,10,0,neither,39.35,166.42,0.2365,590.569,ITER d=3
A000961_a4_shuf,self,,4,64,44,20,9,0,neither,40.87,128.00,0.3193,590.309,P2H_FUNC d=4 R0
A001055_a4_shuf,self,,4,103,78,25,11,0,neither,52.95,206.00,0.2570,593.330,STEP off=23 halt=3
A001065_a7_shuf,self,,7,80,60,20,6,0,neither,48.87,224.59,0.2176,591.032,ITER d=4
A001113_a2_shuf,self,,2,105,79,26,20,0,neither,72.30,105.00,0.6886,600.026,WIDE_BIT nr=3 bit=255
A001157_a5_shuf,self,,5,50,30,20,10,0,neither,45.87,116.10,0.3951,591.534,FUNC d=4
A001227_a4_shuf,self,,4,105,79,26,9,0,neither,53.33,210.00,0.2539,590.315,STEP off=65 halt=1
A001358_a3_shuf,self,,3,61,41,20,13,0,neither,77.67,96.68,0.8034,590.545,P2H_ITER d=8 r0=2
A001477_a7_shuf,self,,7,78,58,20,6,0,neither,55.16,218.97,0.2519,591.034,FUNC_L d=5
A001481_a3_shuf,self,,3,66,46,20,12,0,neither,51.14,104.61,0.4889,590.326,STEP off=38 halt=0
A001481_a7_shuf,self,,7,66,46,20,5,0,neither,55.16,185.29,0.2977,590.112,FUNC_L d=5
A001622_a5_shuf,self,,5,105,79,26,7,0,neither,49.12,243.80,0.2015,591.559,P2H_ITER d=4 r0=2
A001969_a3_shuf,self,,3,65,45,20,11,0,neither,54.41,103.02,0.5281,590.316,P2H_ITER d=5 r0=2
A002113_a2_shuf,self,,2,61,41,20,17,0,neither,56.41,61.00,0.9248,594.921,P2H_ITER d=5 r0=2
A002378_a4_shuf,self,,4,51,31,20,13,0,neither,63.57,102.00,0.6233,590.592,P2H_ITER d=6 r0=2
A003484_a4_shuf,self,,4,102,77,25,11,0,neither,53.20,204.00,0.2608,590.925,STEP off=39 halt=1
