time_s,program_bits,population,alphabet_size,holdout_len,nesting_depth
10.119,18.78,S3,4,20,
10.097,15.61,S3,3,20,
183.382,82.15,S3,3,24,4
10.012,15.61,S3,2,20,
26.518,38.09,S3,4,20,
10.010,15.61,S3,2,25,
85.469,85.32,S3,3,25,4
51.878,43.91,S3,4,25,
54.163,19.20,S3,2,20,
10.020,15.03,S3,2,20,
10.020,15.03,S3,2,20,
10.018,15.03,S3,2,20,
10.015,15.61,S3,2,20,
18.608,17.86,S3,3,20,
27.561,56.73,S3,4,20,
10.137,13.45,S3,2,20,
10.178,15.03,S3,3,20,
10.017,15.03,S3,2,20,
10.039,15.03,S3,2,20,
10.015,15.03,S3,2,20,
10.063,13.45,S3,2,20,
10.140,13.45,S3,4,20,
10.016,15.03,S3,2,20,
10.010,15.61,S3,2,20,
56.110,54.38,S3,3,20,
10.109,13.45,S3,2,20,
204.509,101.72,S3,4,20,5
10.008,15.61,S3,2,20,
22.909,17.86,S3,2,30,
15.191,52.73,S3,4,30,
10.009,15.61,S3,2,20,
14.649,25.73,S3,3,20,
28.923,56.73,S3,4,20,
10.012,15.03,S3,2,24,
118.701,82.15,S3,4,24,4
10.009,15.61,S3,2,20,
10.086,15.61,S3,3,20,
10.090,15.61,S3,4,20,
57.983,55.96,S3,2,22,
55.723,28.73,S3,2,20,
10.011,15.03,S3,2,20,
22.064,54.73,S3,2,20,
10.301,15.03,S3,2,20,
