id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
collatz_k3_c1_b2,collatz_grid,,2,200,150,50,15,0,neither,43.34,200.00,0.2167,600.102,ITER d=3
collatz_k3_c1_b3,collatz_grid,,3,200,150,50,150,50,discovered,43.59,316.99,0.1375,128.701,STEP off=1 halt=1
collatz_k3_c1_b4,collatz_grid,,4,200,150,50,8,0,neither,47.53,400.00,0.1188,600.112,FUNC_L d=4
collatz_k3_c3_b2,collatz_grid,,2,200,150,50,150,50,discovered,47.78,200.00,0.2389,27.678,FUNC_L d=4
collatz_k3_c3_b3,collatz_grid,,3,200,150,50,31,0,neither,101.72,316.99,0.3209,601.280,NESTED_LOOP L=5
collatz_k3_c3_b4,collatz_grid,,4,200,150,50,31,0,neither,83.73,400.00,0.2093,600.102,NESTED_LOOP L=4
collatz_k3_c5_b2,collatz_grid,,2,200,150,50,49,0,neither,97.72,200.00,0.4886,600.152,NESTED_LOOP L=5
collatz_k3_c5_b3,collatz_grid,,3,200,150,50,11,0,neither,49.99,316.99,0.1577,600.463,STEP off=26 halt=0
collatz_k3_c5_b4,collatz_grid,,4,200,150,50,8,0,neither,44.53,400.00,0.1113,600.107,FUNC d=4
collatz_k3_c7_b2,collatz_grid,,2,200,150,50,16,0,neither,65.34,200.00,0.3267,600.097,FUNC_L d=5
collatz_k3_c7_b3,collatz_grid,,3,200,150,50,12,0,neither,46.53,316.99,0.1468,600.107,FUNC_L d=4
collatz_k3_c7_b4,collatz_grid,,4,200,150,50,9,0,neither,51.44,400.00,0.1286,600.205,STEP off=9 halt=3
collatz_k5_c1_b2,collatz_grid,,2,200,150,50,21,0,neither,80.56,200.00,0.4028,600.092,NESTED_LOOP L=4
collatz_k5_c1_b3,collatz_grid,,3,200,150,50,11,0,neither,52.99,316.99,0.1672,600.110,STEP off=26 halt=0
collatz_k5_c1_b4,collatz_grid,,4,200,150,50,11,0,neither,55.98,400.00,0.1400,600.077,FUNC_L d=5
collatz_k5_c3_b2,collatz_grid,,2,200,150,50,97,0,neither,83.73,200.00,0.4187,600.174,NESTED_LOOP L=4
collatz_k5_c3_b3,collatz_grid,,3,200,150,50,11,0,neither,59.91,316.99,0.1890,600.527,STEP off=86 halt=7
collatz_k5_c3_b4,collatz_grid,,4,200,150,50,31,0,neither,83.73,400.00,0.2093,600.115,NESTED_LOOP L=4
collatz_k5_c5_b2,collatz_grid,,2,200,150,50,150,50,discovered,47.78,200.00,0.2389,26.312,FUNC_L d=4
collatz_k5_c5_b3,collatz_grid,,3,200,150,50,13,0,neither,58.70,316.99,0.1852,600.146,STEP off=126 halt=2
collatz_k5_c5_b4,collatz_grid,,4,200,150,50,31,0,neither,83.73,400.00,0.2093,600.085,NESTED_LOOP L=4
collatz_k5_c7_b2,collatz_grid,,2,200,150,50,21,0,neither,85.32,200.00,0.4266,600.093,NESTED_LOOP L=4
collatz_k5_c7_b3,collatz_grid,,3,200,150,50,10,0,neither,51.28,316.99,0.1618,600.243,STEP off=13 halt=0
collatz_k5_c7_b4,collatz_grid,,4,200,150,50,11,0,neither,53.61,400.00,0.1340,600.095,STEP off=84 halt=0
