id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
A000030_a2,oeis_base,A000030,2,133,100,33,100,33,discovered,18.87,133.00,0.1419,16.491,"DARY d=10 MUL_C(R1,R0,1) init=0"
A000030_a3,oeis_base,A000030,3,133,100,33,100,33,discovered,18.87,210.80,0.0895,16.628,"DARY d=10 MUL_C(R1,R0,1) init=0"
A000030_a4,oeis_base,A000030,4,133,100,33,100,33,discovered,18.87,266.00,0.0710,16.612,"DARY d=10 MUL_C(R1,R0,1) init=0"
A000069_a2,oeis_base,A000069,2,65,45,20,45,20,discovered,17.62,65.00,0.2711,10.169,DARY d=2  init=1
A000069_a3,oeis_base,A000069,3,65,45,20,45,20,not_compressed_predicted,116.78,103.02,1.1335,317.803,NESTED_LOOP L=6
A000069_a4,oeis_base,A000069,4,65,45,20,12,0,neither,58.73,130.00,0.4518,600.033,ITER_L d=5
A000120_a2,oeis_base,A000120,2,105,79,26,79,26,discovered,16.62,105.00,0.1583,18.439,DARY d=2  init=0
A000120_a3,oeis_base,A000120,3,105,79,26,79,26,discovered,16.62,166.42,0.0999,18.604,DARY d=2  init=0
A000120_a4,oeis_base,A000120,4,105,79,26,79,26,discovered,16.62,210.00,0.0791,18.232,DARY d=2  init=0
A000788_a2,oeis_base,A000788,2,63,43,20,22,0,neither,85.32,63.00,1.3542,600.044,NESTED_LOOP L=4
A000788_a3,oeis_base,A000788,3,63,43,20,10,0,neither,44.53,99.85,0.4459,600.027,FUNC d=4
A000788_a4,oeis_base,A000788,4,63,43,20,9,0,neither,52.73,126.00,0.4185,600.045,FUNC_L d=5
A001317_a2,oeis_base,A001317,2,42,22,20,22,20,discovered,13.45,42.00,0.3202,10.063,"DARY d=2 LOAD(R0,1) init=0"
A001317_a3,oeis_base,A001317,3,42,22,20,22,20,discovered,33.73,66.57,0.5067,19.963,ITER d=2
A001317_a4,oeis_base,A001317,4,42,22,20,22,20,discovered,15.61,84.00,0.1859,10.084,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
A001969_a2,oeis_base,A001969,2,65,45,20,45,20,discovered,16.62,65.00,0.2557,13.774,DARY d=2  init=0
A001969_a3,oeis_base,A001969,3,65,45,20,45,0,neither,101.72,103.02,0.9873,208.823,NESTED_LOOP L=5
A001969_a4,oeis_base,A001969,4,65,45,20,20,0,neither,64.81,130.00,0.4985,600.042,NESTED_LOOP L=3
A002113_a2,oeis_base,A002113,2,61,41,20,29,0,neither,83.73,61.00,1.3726,600.046,NESTED_LOOP L=4
A002113_a3,oeis_base,A002113,3,61,41,20,29,0,neither,85.32,96.68,0.8824,600.044,NESTED_LOOP L=4
A002113_a4,oeis_base,A002113,4,61,41,20,16,0,neither,57.55,122.00,0.4717,600.028,FUNC_L d=4
A002371_a2,oeis_base,A002371,2,67,47,20,21,0,neither,54.71,67.00,0.8166,600.025,FUNC_L d=4
A002371_a3,oeis_base,A002371,3,67,47,20,10,0,neither,54.73,106.19,0.5154,600.027,FUNC_L d=5
A002371_a4,oeis_base,A002371,4,67,47,20,10,0,neither,57.98,134.00,0.4327,600.035,FUNC_L d=5
