id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
eca_000,eca256,,2,500,375,125,375,125,discovered,15.03,500.00,0.0301,10.022,"DARY d=2 ISZERO(R1,R0) init=0"
eca_001,eca256,,2,500,375,125,375,125,discovered,15.61,500.00,0.0312,10.051,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
eca_002,eca256,,2,500,375,125,375,125,discovered,15.03,500.00,0.0301,10.023,"DARY d=2 ISZERO(R1,R0) init=0"
eca_003,eca256,,2,500,375,125,375,125,discovered,19.20,500.00,0.0384,42.478,CTX_X nr=1 d=3 perm=(2) out=R0 L=1
eca_004,eca256,,2,500,375,125,375,125,discovered,13.45,500.00,0.0269,10.259,"DARY d=2 LOAD(R0,1) init=0"
eca_005,eca256,,2,500,375,125,375,125,discovered,13.45,500.00,0.0269,10.276,"DARY d=2 LOAD(R0,1) init=0"
eca_006,eca256,,2,500,375,125,375,125,discovered,15.70,500.00,0.0314,24.962,DARY d=2 DEC(R0) init=2
eca_007,eca256,,2,500,375,125,375,125,discovered,17.86,500.00,0.0357,20.998,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
eca_008,eca256,,2,500,375,125,375,125,discovered,15.03,500.00,0.0301,10.031,"DARY d=2 ISZERO(R1,R0) init=0"
eca_009,eca256,,2,500,375,125,375,125,discovered,22.07,500.00,0.0441,47.289,CTX_X nr=1 d=6 perm=(5) out=R0 L=1
eca_010,eca256,,2,500,375,125,375,125,discovered,15.03,500.00,0.0301,10.023,"DARY d=2 ISZERO(R1,R0) init=0"
eca_011,eca256,,2,500,375,125,375,125,discovered,19.20,500.00,0.0384,47.071,CTX_X nr=1 d=3 perm=(2) out=R0 L=1
eca_012,eca256,,2,500,375,125,375,125,discovered,13.45,500.00,0.0269,10.282,"DARY d=2 LOAD(R0,1) init=0"
eca_013,eca256,,2,500,375,125,375,125,discovered,13.45,500.00,0.0269,10.298,"DARY d=2 LOAD(R0,1) init=0"
eca_014,eca256,,2,500,375,125,375,125,discovered,15.70,500.00,0.0314,34.629,DARY d=2 DEC(R0) init=2
eca_015,eca256,,2,500,375,125,375,125,discovered,17.86,500.00,0.0357,21.950,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
eca_016,eca256,,2,500,375,125,375,125,discovered,15.03,500.00,0.0301,10.028,"DARY d=2 ISZERO(R1,R0) init=0"
eca_017,eca256,,2,500,375,125,375,125,discovered,19.20,500.00,0.0384,45.296,CTX_X nr=1 d=3 perm=(2) out=R0 L=1
eca_018,eca256,,2,500,375,125,375,125,discovered,15.03,500.00,0.0301,10.027,"DARY d=2 ISZERO(R1,R0) init=0"
eca_019,eca256,,2,500,375,125,375,125,discovered,19.20,500.00,0.0384,45.190,CTX_X nr=1 d=3 perm=(2) out=R0 L=1
