id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0664,totalistic_3state,,3,500,375,125,15,0,neither,61.85,792.48,0.0780,600.051,STEP off=191 halt=8
tot3_0665,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,15.410,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0666,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.116,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0667,totalistic_3state,,3,500,375,125,15,0,neither,43.53,792.48,0.0549,600.044,FUNC d=4
tot3_0668,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,43.533,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0669,totalistic_3state,,3,500,375,125,10,0,neither,43.53,792.48,0.0549,600.045,FUNC d=4
tot3_0670,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,55.633,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0671,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,36.551,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0672,totalistic_3state,,3,500,375,125,375,125,discovered,83.73,792.48,0.1057,228.999,NESTED_LOOP L=4
tot3_0673,totalistic_3state,,3,500,375,125,13,0,neither,57.52,792.48,0.0726,600.069,STEP off=216 halt=1
tot3_0674,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,16.156,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0675,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.149,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0676,totalistic_3state,,3,500,375,125,375,125,discovered,82.15,792.48,0.1037,218.444,NESTED_LOOP L=4
tot3_0677,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,16.440,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0678,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,11.241,"DARY d=2 LOAD(R0,1) init=0"
tot3_0679,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.415,"DARY d=2 LOAD(R0,1) init=0"
