"id","population","solver_family","program_bits","time_s","log2t"
"tot3_0981","S4","DARY",15.03,10.086,3.33428222529524
"tot3_0982","S4","CTX_X",15.61,12.077,3.59419021986166
"tot3_0984","S4","FUNC_L",46.78,13.249,3.72781156780962
"tot3_0985","S4","CTX_X",17.86,16.806,4.07090448413358
"tot3_0986","S4","CTX_X",24.73,16.655,4.05788344889963
"tot3_0988","S4","CTX_X",24.73,17.017,4.08890481542425
"tot3_0989","S4","CTX_X",24.73,16.956,4.08372396639301
"tot3_0990","S4","DARY",15.03,10.097,3.33585480093028
"tot3_0992","S4","DARY",19.19,12.864,3.68526740651684
"tot3_0994","S4","CTX_X",17.86,18.729,4.22720196651556
"tot3_0996","S4","NESTED_LOOP",101.72,273.447,8.09511742408407
"tot3_0998","S4","CTX_X",24.73,18.35,4.19770815795585
"tot3_0999","S4","DARY",15.03,10.087,3.33442525757026
"tot3_1000","S4","NESTED_LOOP",64.81,211.214,7.72256165449557
"tot3_1002","S4","DARY",13.45,10.256,3.35839626195665
"tot3_1003","S4","DARY",13.45,10.251,3.35769274848834
"tot3_1004","S4","DARY",13.45,10.221,3.35346444815542
"tot3_1005","S4","CTX_X",15.61,18.586,4.21614440785049
"tot3_1006","S4","NESTED_LOOP",97.72,465.649,8.86309907005148
"tot3_1007","S4","CTX_X",17.86,29.861,4.90019057485693
"tot3_1008","S4","DARY",15.03,10.147,3.34298134694144
"tot3_1009","S4","CTX_X",20.43,48.306,5.59413048959312
"tot3_1010","S4","CTX_X",41.34,39.99,5.3215673760354
"tot3_1011","S4","DARY",13.45,10.347,3.37114062951992
"tot3_1012","S4","DARY",13.45,10.46,3.38681094647222
"tot3_1013","S4","DARY",13.45,10.817,3.43522853072072
"tot3_1014","S4","CTX_X",35.9,50.085,5.64630668900955
"tot3_1015","S4","CTX_X",17.86,29.538,4.88450024029394
"tot3_1016","S4","CTX_X",17.86,28.72,4.84398384404833
"tot3_1017","S4","DARY",15.03,10.157,3.34440244146226
"tot3_1020","S4","DARY",13.45,10.49,3.39094277280254
"tot3_1021","S4","DARY",13.45,10.33,3.36876834909033
"tot3_1022","S4","DARY",13.45,10.254,3.35811489773521
"tot3_1024","S4","CTX_X",17.86,20.225,4.33806779754262
"tot3_1025","S4","CTX_X",17.86,19.592,4.29219277390189
"tot3_1026","S4","DARY",15.03,10.095,3.33556900555675
"tot3_1029","S4","CTX_X",24.73,18.413,4.2026527966713
"tot3_1030","S4","CTX_X",17.86,17.551,4.1334813279209
"tot3_1032","S4","CTX_X",15.61,12.118,3.59907970556486
"tot3_1034","S4","CTX_X",15.61,18.04,4.17312743348066
"tot3_1035","S4","DARY",15.03,10.137,3.34155885122287
"tot3_1039","S4","CTX_X",17.86,18.046,4.17360718575717
"tot3_1043","S4","CTX_X",15.61,16.138,4.01238988980608
"tot3_1044","S4","DARY",15.03,10.155,3.34411833452143
"tot3_1045","S4","ITER",41.09,45.325,5.5022351148568
"tot3_1048","S4","CTX_X",17.86,21.399,4.41947147428249
"tot3_1049","S4","NESTED_LOOP",82.15,428.947,8.74465559143711
"tot3_1050","S4","CTX_X",15.61,14.917,3.89888551517822
"tot3_1051","S4","CTX_X",15.61,17.119,4.09752652459504
"tot3_1052","S4","CTX_X",15.61,15.275,3.93310047493137
"tot3_1053","S4","DARY",15.03,10.104,3.33685463912547
"tot3_1054","S4","CTX_X",15.61,15.973,3.99756339565488
"tot3_1055","S4","CTX_X",27.3,46.243,5.53116309014654
"tot3_1056","S4","DARY",15.7,24.228,4.59860341139054
"tot3_1057","S4","CTX_X",17.86,17.271,4.11027971297561
"tot3_1058","S4","NESTED_LOOP",64.81,424.717,8.73035804586961
"tot3_1059","S4","CTX_X",17.86,19.804,4.30771994930007
"tot3_1061","S4","CTX_X",24.73,21.971,4.4575286297468
"tot3_1062","S4","DARY",15.03,10.097,3.33585480093028
