"id","population","class","train_bits","mdl","train_ratio","total_ratio"
"eca_004","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_005","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_006","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_007","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_008","S2","discovered",375,15.03,0.04008,0.0301
"eca_009","S2","discovered",375,22.07,0.0588533333333333,0.0441
"eca_010","S2","discovered",375,15.03,0.04008,0.0301
"eca_011","S2","discovered",375,19.2,0.0512,0.0384
"eca_012","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_013","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_014","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_015","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_016","S2","discovered",375,15.03,0.04008,0.0301
"eca_017","S2","discovered",375,19.2,0.0512,0.0384
"eca_018","S2","discovered",375,15.03,0.04008,0.0301
"eca_019","S2","discovered",375,19.2,0.0512,0.0384
"eca_020","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_021","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_022","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_023","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_024","S2","discovered",375,15.03,0.04008,0.0301
"eca_025","S2","neither",375,43.09,0.114906666666667,0.0862
"eca_026","S2","discovered",375,15.03,0.04008,0.0301
"eca_027","S2","discovered",375,19.2,0.0512,0.0384
"eca_028","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_029","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_030","S2","discovered",375,74.53,0.198746666666667,0.1491
"eca_031","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_032","S2","discovered",375,15.03,0.04008,0.0301
"eca_033","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_034","S2","discovered",375,15.03,0.04008,0.0301
"eca_035","S2","discovered",375,19.2,0.0512,0.0384
"eca_036","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_037","S2","discovered",375,19.2,0.0512,0.0384
"eca_038","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_039","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_040","S2","discovered",375,15.03,0.04008,0.0301
"eca_041","S2","discovered",375,21.35,0.0569333333333333,0.0427
"eca_042","S2","discovered",375,15.03,0.04008,0.0301
"eca_043","S2","discovered",375,19.2,0.0512,0.0384
"eca_044","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_045","S2","neither",375,75.13,0.200346666666667,0.1503
"eca_046","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_047","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_048","S2","discovered",375,15.03,0.04008,0.0301
"eca_049","S2","discovered",375,19.2,0.0512,0.0384
"eca_050","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_051","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_052","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_053","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_054","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_055","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_056","S2","discovered",375,15.03,0.04008,0.0301
"eca_057","S2","discovered",375,25.73,0.0686133333333333,0.0515
"eca_058","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_059","S2","discovered",375,20.43,0.05448,0.0409
"eca_060","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_061","S2","discovered",375,39.91,0.106426666666667,0.0798
"eca_062","S2","discovered",375,24.11,0.0642933333333333,0.0482
"eca_063","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_064","S2","discovered",375,15.03,0.04008,0.0301
"eca_065","S2","discovered",375,22.07,0.0588533333333333,0.0441
"eca_066","S2","discovered",375,15.03,0.04008,0.0301
"eca_067","S2","neither",375,43.09,0.114906666666667,0.0862
"eca_068","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_069","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_070","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_071","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_072","S2","discovered",375,15.03,0.04008,0.0301
"eca_073","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_074","S2","discovered",375,15.03,0.04008,0.0301
"eca_075","S2","neither",375,75.13,0.200346666666667,0.1503
