"id","stage","class","class_simple","time_s"
"A262038_a4","S3","neither","other",600.048
"A263273_a2","S3","discovered","discovered",10.01
"A263273_a3","S3","discovered","discovered",56.11
"A263273_a4","S3","neither","other",600.096
"A265509_a2","S3","discovered","discovered",10.109
"A265509_a3","S3","neither","other",600.044
"A265509_a4","S3","discovered","discovered",204.509
"A276086_a2","S3","discovered","discovered",10.008
"A276086_a3","S3","neither","other",600.041
"A276086_a4","S3","neither","other",600.033
"A276150_a2","S3","discovered","discovered",22.909
"A276150_a3","S3","neither","other",600.036
"A276150_a4","S3","discovered","discovered",15.191
"A276156_a2","S3","discovered","discovered",10.009
"A276156_a3","S3","discovered","discovered",14.649
"A276156_a4","S3","discovered","discovered",28.923
"A278038_a2","S3","neither","other",28.323
"A278038_a3","S3","neither","other",600.045
"A278038_a4","S3","neither","other",152.926
"A278222_a2","S3","discovered","discovered",10.012
"A278222_a3","S3","neither","other",600.038
"A278222_a4","S3","discovered","discovered",118.701
"A296712_a2","S3","neither","other",600.043
"A296712_a3","S3","neither","other",600.04
"A296712_a4","S3","neither","other",600.037
"A296882_a2","S3","discovered","discovered",10.009
"A296882_a3","S3","discovered","discovered",10.086
"A296882_a4","S3","discovered","discovered",10.09
"A297330_a2","S3","neither","other",600.173
"A297330_a3","S3","neither","other",600.03
"A297330_a4","S3","neither","other",600.028
"A297770_a2","S3","neither","other",600.052
"A297770_a3","S3","neither","other",600.039
"A297770_a4","S3","neither","other",600.052
"A317905_a2","S3","neither","other",600.063
"A317905_a3","S3","neither","other",600.035
"A317905_a4","S3","neither","other",600.027
"A318928_a2","S3","neither","other",600.054
"A318928_a3","S3","neither","other",600.037
"A318928_a4","S3","neither","other",600.038
"A326031_a2","S3","discovered","discovered",57.983
"A326031_a3","S3","neither","other",600.03
"A326031_a4","S3","neither","other",600.022
"A327860_a2","S3","discovered","discovered",55.723
"A327860_a3","S3","neither","other",600.032
"A327860_a4","S3","neither","other",600.037
"A328596_a2","S3","discovered","discovered",10.011
"A328596_a3","S3","neither","other",600.087
"A328596_a4","S3","neither","other",600.045
"A333219_a2","S3","discovered","discovered",22.064
"A333219_a3","S3","neither","other",600.22
"A333219_a4","S3","neither","other",600.049
"A337287_a2","S3","neither","other",600.038
"A337287_a3","S3","neither","other",600.024
"A337287_a4","S3","neither","other",600.039
"A367905_a2","S3","neither","other",600.07
"A367905_a3","S3","neither","other",600.036
"A367905_a4","S3","neither","other",600.037
"A367907_a2","S3","neither","other",600.059
"A367907_a3","S3","neither","other",600.045
"A367907_a4","S3","neither","other",600.044
"A385776_a2","S3","discovered","discovered",10.301
"A385776_a3","S3","neither","other",600.035
"A385776_a4","S3","neither","other",600.038
"A000001_a2","S3","neither","other",600.029
"A000001_a3","S3","neither","other",600.029
"A000001_a4","S3","neither","other",600.029
"A000001_a5","S3","neither","other",600.04
"A000001_a7","S3","neither","other",600.025
"A000002_a2","S3","neither","other",600.036
"A000002_a3","S3","neither","other",600.047
"A000002_a4","S3","neither","other",600.048
"A000002_a5","S3","neither","other",600.053
"A000002_a7","S3","neither","other",600.032
"A000004_a2","S3","discovered","discovered",10.213
"A000004_a3","S3","discovered","discovered",10.257
"A000004_a4","S3","discovered","discovered",10.182
"A000004_a5","S3","discovered","discovered",10.176
"A000004_a7","S3","discovered","discovered",10.174
"A000005_a2","S3","not_compressed_predicted","other",426.928
"A000005_a3","S3","discovered","discovered",184.888
"A000005_a4","S3","discovered","discovered",179.643
"A000005_a5","S3","discovered","discovered",184.654
"A000005_a7","S3","discovered","discovered",187.406
