"id","stage","class","class_simple","time_s"
"A038566_a3","S3","neither","other",600.056
"A038566_a4","S3","neither","other",600.051
"A038566_a5","S3","neither","other",600.058
"A038566_a7","S3","neither","other",600.058
"A038567_a2","S3","neither","other",600.037
"A038567_a3","S3","neither","other",600.063
"A038567_a4","S3","neither","other",600.062
"A038567_a5","S3","neither","other",600.078
"A038567_a7","S3","neither","other",600.065
"A038568_a2","S3","neither","other",600.04
"A038568_a3","S3","neither","other",600.053
"A038568_a4","S3","neither","other",600.067
"A038568_a5","S3","neither","other",600.07
"A038568_a7","S3","neither","other",600.063
"A038569_a2","S3","neither","other",600.038
"A038569_a3","S3","neither","other",600.067
"A038569_a4","S3","neither","other",600.064
"A038569_a5","S3","neither","other",600.071
"A038569_a7","S3","neither","other",600.062
"A056239_a2","S3","neither","other",600.055
